Name	R1	R2	group
Fs2_ct1	data/Fs2_ct1_R1.fastq.gz	data/Fs2_ct1_R2.fastq.gz	ctl
Fs2_ct2	data/Fs2_ct2_R1.fastq.gz	data/Fs2_ct2_R2.fastq.gz	ctl
Fs2_ct3	data/Fs2_ct3_R1.fastq.gz	data/Fs2_ct3_R2.fastq.gz	ctl
Fs2_ep1	data/Fs2_ep1_R1.fastq.gz	data/Fs2_ep1_R2.fastq.gz	ep
Fs2_ep2	data/Fs2_ep2_R1.fastq.gz	data/Fs2_ep2_R2.fastq.gz	ep
Fs2_ep3	data/Fs2_ep3_R1.fastq.gz	data/Fs2_ep3_R2.fastq.gz	ep
Fs2_ku1	data/Fs2_ku1_R1.fastq.gz	data/Fs2_ku1_R2.fastq.gz	ku
Fs2_ku2	data/Fs2_ku2_R1.fastq.gz	data/Fs2_ku2_R2.fastq.gz	ku
Fs2_ku3	data/Fs2_ku3_R1.fastq.gz	data/Fs2_ku3_R2.fastq.gz	ku
